Date,Open,High,Low,Close,Volume
1/4/2011,32.5,33.3,32.3,33,105964752
1/5/2011,33,33.2,32.8,33.2,60864168
1/6/2011,33.3,33.4,32.9,33.2,39651640
1/7/2011,33.1,33.1,32.2,32.2,55886640
1/10/2011,32.1,32.2,31.6,31.8,95325912
1/11/2011,31.8,32,31.5,31.9,53079672
1/12/2011,32.3,33,32.3,32.9,116465088
1/13/2011,33.3,33.3,32.9,33.3,78504952
1/14/2011,33.2,33.2,33,33.2,34530008
1/17/2011,33.1,33.1,32.6,32.8,28067720
1/18/2011,33,33.6,32.9,33.4,56352360
1/19/2011,33.6,34.2,33.4,34.2,94697296
1/20/2011,33.8,34.2,33.4,33.9,87858232
1/21/2011,33.5,33.9,33.5,33.9,66542192
1/24/2011,33.6,33.6,32.1,32.1,87229848
1/25/2011,32.1,32.7,31.8,32.3,97874248
1/26/2011,32.6,33.7,32.4,33.7,92488400
1/27/2011,33.8,34.6,33.5,34.4,145945072
1/28/2011,34.1,34.3,33.7,34.2,61916872
1/31/2011,33.7,34.3,33.5,33.5,52887360
2/1/2011,33.9,34.5,33.8,33.8,75645296
2/2/2011,34.3,34.5,34.2,34.4,39412672
2/3/2011,34.4,34.6,34.3,34.5,22229730
2/4/2011,35.1,35.1,34.5,34.5,85247792
2/7/2011,34.1,34.3,33.6,33.9,87217712
2/8/2011,33.7,34,33.6,33.7,33251490
2/9/2011,33.5,33.7,32.9,33,65000500
2/10/2011,32.7,32.9,32,32,75864552
2/11/2011,32,32,31.3,31.6,93436688
2/14/2011,32,32.5,31.9,32.4,55090520
2/15/2011,32.4,32.7,32.2,32.6,51551968
2/16/2011,32.5,33.1,32.5,32.9,55126088
2/17/2011,33,33.4,33,33.4,61346540
2/21/2011,33.6,33.6,33,33.1,59921900
2/22/2011,32.7,33.4,32.7,33.3,46224180
2/23/2011,33.5,34,33.4,33.9,76650320
2/24/2011,34.3,34.5,33.9,34,61417768
2/25/2011,33.9,34.8,33.8,34.3,83331320
2/28/2011,33.9,34.2,33.6,33.7,72790112
3/1/2011,33.8,34,33.6,33.9,39667680
3/2/2011,33.8,33.9,33.2,33.4,58243552
3/3/2011,33.7,33.7,33.1,33.2,41104260
3/4/2011,33.5,33.7,33.3,33.3,23783600
3/7/2011,33.6,34.2,33.5,34.2,45882200
3/8/2011,34.5,34.9,34.3,34.8,77337808
3/9/2011,35,35,34.4,34.4,36834040
3/10/2011,34.4,34.6,34.3,34.6,18353290
3/11/2011,34.3,34.5,34.1,34.3,32638550
3/14/2011,34.3,34.9,34.2,34.9,34751848
3/15/2011,34,34.3,33.7,33.8,61050880
3/16/2011,34,34.1,33.7,33.9,42630240
3/17/2011,33.6,33.7,33.3,33.6,51292288
3/18/2011,33.8,34,33.7,33.7,27308000
3/21/2011,34.1,34.4,34,34.3,29888200
3/22/2011,34.3,34.5,34.1,34.2,32614010
3/23/2011,34.2,34.6,34.2,34.5,28445000
3/24/2011,34.7,34.8,34.5,34.7,29493120
3/25/2011,34.9,34.9,34.6,34.8,25606310
3/28/2011,34.9,34.9,34.5,34.6,15683590
3/29/2011,34.7,35.1,34.6,34.6,65424272
3/30/2011,34.8,35.2,34.8,35.2,55063000
3/31/2011,35.3,35.5,35,35.4,44391632
4/1/2011,35.6,36,35.5,35.7,47036740
4/4/2011,36.1,36.8,36.1,36.8,60841280
4/5/2011,36.7,36.8,36.6,36.8,23920740
4/7/2011,37,37.7,36.9,37.7,70435760
4/8/2011,37.9,38.1,37.5,37.6,75546848
4/11/2011,37.9,38.3,36.7,36.8,61272768
4/12/2011,36.4,37.1,36.2,37.1,60960192
4/18/2011,37.5,37.8,37.4,37.5,50842220
4/19/2011,37.3,37.9,37.1,37.7,58683888
4/20/2011,38,38.4,37.9,38.4,72530480
4/21/2011,38.7,38.7,38.2,38.3,39381360
4/22/2011,38.1,38.2,37.8,38,19818890
4/25/2011,37.9,38.1,37.6,37.9,14510160
4/26/2011,37.6,37.8,37.3,37.6,29287990
4/27/2011,37.8,38,37.5,37.7,27982110
4/28/2011,37.9,38,37.3,37.3,28263170
4/29/2011,37.3,37.5,36.7,37.5,45302620
5/3/2011,37.5,37.5,36.1,36.4,56904500
5/4/2011,36.4,36.5,35.7,36.1,63142272
5/6/2011,35.3,35.4,34.5,34.7,132885832
5/9/2011,34.8,35.9,34.7,35.8,59498752
5/10/2011,36,36.3,35.7,36.1,36937020
5/11/2011,36.4,37.2,36.4,36.8,61323672
5/12/2011,36.5,36.7,36,36,44968088
5/13/2011,36.4,36.5,35.8,36.1,45410648
5/18/2011,35.9,36.2,35.6,36.2,46564140
5/19/2011,36.4,36.6,36.3,36.6,29544620
5/20/2011,36.6,36.6,36,36.1,26977640
5/23/2011,35.6,35.7,35,35.2,58562800
5/24/2011,35,35.3,34.8,35.2,68663968
5/25/2011,35.1,35.3,34.8,34.8,59193200
5/26/2011,35,35.6,35,35.2,56119780
5/27/2011,35.4,35.6,35.3,35.4,23950100
5/30/2011,35.6,35.8,35.2,35.8,28969190
5/31/2011,35.9,36,35.3,35.4,61023540
6/1/2011,35.6,35.6,34.8,35,52384120
6/2/2011,34.6,34.9,34.6,34.7,30949550
6/3/2011,34.7,35,34.7,34.7,33125800
6/6/2011,34.6,34.6,34.1,34.3,32164820
6/7/2011,34.3,34.5,33.9,33.9,59416672
6/8/2011,33.7,33.8,32.9,33,75285824
6/9/2011,32.9,33.4,32.8,33.3,68367592
6/10/2011,33.5,33.6,33.3,33.4,26036630
6/13/2011,33.2,33.3,32.9,33.1,29220330
6/14/2011,33.3,33.9,33.1,33.9,45495840
6/15/2011,33.9,33.9,33.4,33.4,27920040
6/16/2011,33.1,33.3,33,33.2,20559720
6/17/2011,33.4,33.4,32.8,33,25430210
6/20/2011,33.1,33.2,32.9,32.9,25652230
6/21/2011,33.1,33.6,33,33.4,51127920
6/22/2011,33.5,33.5,32.9,33,71776160
6/23/2011,32.9,33.2,32.8,32.9,25919250
6/24/2011,33,33.4,32.8,33.4,46796000
6/27/2011,32.8,33,32.3,32.4,82403184
6/28/2011,32.5,32.7,32.4,32.4,44565272
6/29/2011,32.7,33.4,32.7,33.3,41374120
6/30/2011,33.6,33.6,33.3,33.5,31957110
7/4/2011,34.8,35.5,34.4,35.1,113681616
7/5/2011,35.2,35.3,34.7,34.7,49710360
7/6/2011,34.5,34.6,33.8,34,111466640
7/7/2011,34.1,34.2,33.5,33.9,70154800
7/8/2011,34,34.1,33.2,33.5,147797232
7/11/2011,33.1,33.4,33,33.1,58827752
7/12/2011,32.8,33.4,32.8,32.9,92346080
7/13/2011,33.3,33.4,33.1,33.2,52520020
7/14/2011,33.1,33.4,33.1,33.4,37278140
7/18/2011,33.8,33.9,33.5,33.8,69719440
7/19/2011,33.8,34.2,33.7,34,70471128
7/20/2011,34.4,34.8,34.3,34.6,78903696
7/21/2011,34.7,35,34.6,34.9,58819980
7/22/2011,35.1,35.4,35.1,35.2,52505520
7/25/2011,34.7,35,34.7,35,48075992
7/26/2011,35,35.1,34.7,34.8,42284800
7/27/2011,34.8,35.3,34.8,35.1,31236980
7/28/2011,34.9,35.2,34.8,35.1,34712120
7/29/2011,35,35.1,34.3,34.7,70758944
8/1/2011,35.1,35.3,34.8,35,55281160
8/2/2011,35,35.1,34.7,34.8,30590680
8/3/2011,34.4,34.5,34.1,34.3,77612016
8/4/2011,34.4,34.5,34,34,33982632
8/5/2011,33.2,33.3,32.6,33,128660472
8/8/2011,32.2,32.6,31.8,32.2,104739376
8/9/2011,31.1,31.9,30.9,31.1,141139232
8/10/2011,31.6,31.8,31.3,31.7,77663512
8/11/2011,31.6,31.8,31.4,31.5,56869672
8/15/2011,32.1,32.7,32,32.7,76057992
8/16/2011,32.9,32.9,32.3,32.3,47482840
8/17/2011,32.7,33.2,32.5,33.2,44990872
8/18/2011,33.3,33.4,32.8,32.9,42266728
8/19/2011,32.2,32.3,31.8,31.8,96503432
8/22/2011,31.7,31.8,31.2,31.5,88054728
8/23/2011,31.6,32,31.4,31.6,49094740
8/24/2011,31.6,31.8,31.3,31.5,35056152
8/25/2011,31.8,31.8,30.9,30.9,68618912
8/26/2011,30.7,31.8,30.7,31.7,71803232
8/29/2011,31.8,32.9,31.6,32.9,76582704
8/30/2011,33.1,33.2,32.2,32.2,61182500
8/31/2011,32.5,33,32.4,32.9,57893280
9/1/2011,33.4,33.4,32.9,33,57408300
9/2/2011,33.2,33.2,32.5,32.8,58853500
9/5/2011,32.5,32.6,32.2,32.4,74247120
9/6/2011,31.7,31.9,31.4,31.9,49886088
9/7/2011,32.1,32.4,31.9,32.4,24601670
9/8/2011,32.3,32.6,32.1,32.6,29129720
9/9/2011,32.5,32.6,32.1,32.1,28335130
9/12/2011,31.6,31.8,31.1,31.4,41577720
9/13/2011,31.5,31.6,30.9,31,54144980
9/14/2011,31.3,31.4,30.7,31.2,57891768
